title,company,location,description,source,query,scraped_at,clean_description,skills,clean_title,scraped_date,processed_at,react,angular,java,teamwork,javascript,kubernetes,problem solving,leadership,aws,communication,sql,tensorflow,pytorch,azure,python,docker
data scientist,Software Dynamics,New York,"We are looking for a data scientist with experience in PyTorch, Docker, C#, Problem Solving and Agile. The ideal candidate will have strong technical skills and excellent communication abilities. This role is based in New York and offers competitive compensation.",mock_data,data scientist,2025-04-17T09:16:24.387704,we are looking for a data scientist with experience in pytorch docker c problem solving and agile the ideal candidate will have strong technical skills and excellent communication abilities this role is based in new york and offers competitive compensation,"[{'name': 'docker', 'category': 'technical'}, {'name': 'pytorch', 'category': 'technical'}, {'name': 'communication', 'category': 'soft'}, {'name': 'problem solving', 'category': 'soft'}]",data scientist,2025-04-17,2025-04-17T22:06:08.663373,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1
data scientist,Smart Analytics,New York,"We are looking for a data scientist with experience in Python, Teamwork, Communication and Java. The ideal candidate will have strong technical skills and excellent communication abilities. This role is based in New York and offers competitive compensation.",mock_data,data scientist,2025-04-17T09:16:24.387704,we are looking for a data scientist with experience in python teamwork communication and java the ideal candidate will have strong technical skills and excellent communication abilities this role is based in new york and offers competitive compensation,"[{'name': 'python', 'category': 'technical'}, {'name': 'java', 'category': 'technical'}, {'name': 'communication', 'category': 'soft'}, {'name': 'teamwork', 'category': 'soft'}]",data scientist,2025-04-17,2025-04-17T22:06:08.663373,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0
data scientist,Digital Platforms,New York,"We are looking for a data scientist with experience in Agile, C++, Docker, Angular, React, Teamwork, Problem Solving and Kubernetes. The ideal candidate will have strong technical skills and excellent communication abilities. This role is based in New York and offers competitive compensation.",mock_data,data scientist,2025-04-17T09:16:24.387704,we are looking for a data scientist with experience in agile c docker angular react teamwork problem solving and kubernetes the ideal candidate will have strong technical skills and excellent communication abilities this role is based in new york and offers competitive compensation,"[{'name': 'docker', 'category': 'technical'}, {'name': 'kubernetes', 'category': 'technical'}, {'name': 'react', 'category': 'technical'}, {'name': 'angular', 'category': 'technical'}, {'name': 'communication', 'category': 'soft'}, {'name': 'teamwork', 'category': 'soft'}, {'name': 'problem solving', 'category': 'soft'}]",data scientist,2025-04-17,2025-04-17T22:06:08.664573,1,1,0,1,0,1,1,0,0,1,0,0,0,0,0,1
data scientist,Smart Analytics,New York,"We are looking for a data scientist with experience in Docker, React, Azure, Communication, C# and JavaScript. The ideal candidate will have strong technical skills and excellent communication abilities. This role is based in New York and offers competitive compensation.",mock_data,data scientist,2025-04-17T09:16:24.387704,we are looking for a data scientist with experience in docker react azure communication c and javascript the ideal candidate will have strong technical skills and excellent communication abilities this role is based in new york and offers competitive compensation,"[{'name': 'javascript', 'category': 'technical'}, {'name': 'azure', 'category': 'technical'}, {'name': 'docker', 'category': 'technical'}, {'name': 'react', 'category': 'technical'}, {'name': 'communication', 'category': 'soft'}]",data scientist,2025-04-17,2025-04-17T22:06:08.664573,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1
data scientist,Tech Innovations,New York,"We are looking for a data scientist with experience in PyTorch, TensorFlow and Node.js. The ideal candidate will have strong technical skills and excellent communication abilities. This role is based in New York and offers competitive compensation.",mock_data,data scientist,2025-04-17T09:16:24.387704,we are looking for a data scientist with experience in pytorch tensorflow and node js the ideal candidate will have strong technical skills and excellent communication abilities this role is based in new york and offers competitive compensation,"[{'name': 'tensorflow', 'category': 'technical'}, {'name': 'pytorch', 'category': 'technical'}, {'name': 'communication', 'category': 'soft'}]",data scientist,2025-04-17,2025-04-17T22:06:08.664573,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0
data scientist,Data Solutions,New York,"We are looking for a data scientist with experience in C++, Communication, Azure and SQL. The ideal candidate will have strong technical skills and excellent communication abilities. This role is based in New York and offers competitive compensation.",mock_data,data scientist,2025-04-17T09:16:24.387704,we are looking for a data scientist with experience in c communication azure and sql the ideal candidate will have strong technical skills and excellent communication abilities this role is based in new york and offers competitive compensation,"[{'name': 'sql', 'category': 'technical'}, {'name': 'azure', 'category': 'technical'}, {'name': 'communication', 'category': 'soft'}]",data scientist,2025-04-17,2025-04-17T22:06:08.665573,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
data scientist,Digital Platforms,New York,"We are looking for a data scientist with experience in C++, Docker and Angular. The ideal candidate will have strong technical skills and excellent communication abilities. This role is based in New York and offers competitive compensation.",mock_data,data scientist,2025-04-17T09:16:24.387704,we are looking for a data scientist with experience in c docker and angular the ideal candidate will have strong technical skills and excellent communication abilities this role is based in new york and offers competitive compensation,"[{'name': 'docker', 'category': 'technical'}, {'name': 'angular', 'category': 'technical'}, {'name': 'communication', 'category': 'soft'}]",data scientist,2025-04-17,2025-04-17T22:06:08.665573,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
data scientist,Future Technologies,New York,"We are looking for a data scientist with experience in Docker, AWS and React. The ideal candidate will have strong technical skills and excellent communication abilities. This role is based in New York and offers competitive compensation.",mock_data,data scientist,2025-04-17T09:16:24.387704,we are looking for a data scientist with experience in docker aws and react the ideal candidate will have strong technical skills and excellent communication abilities this role is based in new york and offers competitive compensation,"[{'name': 'aws', 'category': 'technical'}, {'name': 'docker', 'category': 'technical'}, {'name': 'react', 'category': 'technical'}, {'name': 'communication', 'category': 'soft'}]",data scientist,2025-04-17,2025-04-17T22:06:08.665573,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
data scientist,AI Research Labs,New York,"We are looking for a data scientist with experience in Docker, AWS, Java and PyTorch. The ideal candidate will have strong technical skills and excellent communication abilities. This role is based in New York and offers competitive compensation.",mock_data,data scientist,2025-04-17T09:16:24.387704,we are looking for a data scientist with experience in docker aws java and pytorch the ideal candidate will have strong technical skills and excellent communication abilities this role is based in new york and offers competitive compensation,"[{'name': 'java', 'category': 'technical'}, {'name': 'aws', 'category': 'technical'}, {'name': 'docker', 'category': 'technical'}, {'name': 'pytorch', 'category': 'technical'}, {'name': 'communication', 'category': 'soft'}]",data scientist,2025-04-17,2025-04-17T22:06:08.666574,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1
data scientist,Future Technologies,New York,"We are looking for a data scientist with experience in Problem Solving, Docker, React, Java, Agile, PyTorch, Teamwork and Angular. The ideal candidate will have strong technical skills and excellent communication abilities. This role is based in New York and offers competitive compensation.",mock_data,data scientist,2025-04-17T09:16:24.387704,we are looking for a data scientist with experience in problem solving docker react java agile pytorch teamwork and angular the ideal candidate will have strong technical skills and excellent communication abilities this role is based in new york and offers competitive compensation,"[{'name': 'java', 'category': 'technical'}, {'name': 'docker', 'category': 'technical'}, {'name': 'pytorch', 'category': 'technical'}, {'name': 'react', 'category': 'technical'}, {'name': 'angular', 'category': 'technical'}, {'name': 'communication', 'category': 'soft'}, {'name': 'teamwork', 'category': 'soft'}, {'name': 'problem solving', 'category': 'soft'}]",data scientist,2025-04-17,2025-04-17T22:06:08.666574,1,1,1,1,0,0,1,0,0,1,0,0,1,0,0,1
data scientist,Smart Analytics,Remote,"We are looking for a data scientist with experience in AWS, Agile, TensorFlow, Java, Azure, Teamwork, Angular and Node.js. The ideal candidate will have strong technical skills and excellent communication abilities. This role is based in Remote and offers competitive compensation.",mock_data,data scientist,2025-04-17T09:16:24.387704,we are looking for a data scientist with experience in aws agile tensorflow java azure teamwork angular and node js the ideal candidate will have strong technical skills and excellent communication abilities this role is based in remote and offers competitive compensation,"[{'name': 'java', 'category': 'technical'}, {'name': 'aws', 'category': 'technical'}, {'name': 'azure', 'category': 'technical'}, {'name': 'tensorflow', 'category': 'technical'}, {'name': 'angular', 'category': 'technical'}, {'name': 'communication', 'category': 'soft'}, {'name': 'teamwork', 'category': 'soft'}]",data scientist,2025-04-17,2025-04-17T22:06:08.667069,0,1,1,1,0,0,0,0,1,1,0,1,0,1,0,0
data scientist,Digital Platforms,Remote,"We are looking for a data scientist with experience in Java, Angular and TensorFlow. The ideal candidate will have strong technical skills and excellent communication abilities. This role is based in Remote and offers competitive compensation.",mock_data,data scientist,2025-04-17T09:16:24.387704,we are looking for a data scientist with experience in java angular and tensorflow the ideal candidate will have strong technical skills and excellent communication abilities this role is based in remote and offers competitive compensation,"[{'name': 'java', 'category': 'technical'}, {'name': 'tensorflow', 'category': 'technical'}, {'name': 'angular', 'category': 'technical'}, {'name': 'communication', 'category': 'soft'}]",data scientist,2025-04-17,2025-04-17T22:06:08.667069,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0
data scientist,Tech Innovations,Remote,"We are looking for a data scientist with experience in Leadership, JavaScript, Angular, Python, PyTorch, React and C++. The ideal candidate will have strong technical skills and excellent communication abilities. This role is based in Remote and offers competitive compensation.",mock_data,data scientist,2025-04-17T09:16:24.387704,we are looking for a data scientist with experience in leadership javascript angular python pytorch react and c the ideal candidate will have strong technical skills and excellent communication abilities this role is based in remote and offers competitive compensation,"[{'name': 'python', 'category': 'technical'}, {'name': 'javascript', 'category': 'technical'}, {'name': 'pytorch', 'category': 'technical'}, {'name': 'react', 'category': 'technical'}, {'name': 'angular', 'category': 'technical'}, {'name': 'communication', 'category': 'soft'}, {'name': 'leadership', 'category': 'soft'}]",data scientist,2025-04-17,2025-04-17T22:06:08.667069,1,1,0,0,1,0,0,1,0,1,0,0,1,0,1,0
data scientist,Data Solutions,Remote,"We are looking for a data scientist with experience in TensorFlow, Problem Solving, React, AWS, PyTorch, Angular, Communication and Docker. The ideal candidate will have strong technical skills and excellent communication abilities. This role is based in Remote and offers competitive compensation.",mock_data,data scientist,2025-04-17T09:16:24.387704,we are looking for a data scientist with experience in tensorflow problem solving react aws pytorch angular communication and docker the ideal candidate will have strong technical skills and excellent communication abilities this role is based in remote and offers competitive compensation,"[{'name': 'aws', 'category': 'technical'}, {'name': 'docker', 'category': 'technical'}, {'name': 'tensorflow', 'category': 'technical'}, {'name': 'pytorch', 'category': 'technical'}, {'name': 'react', 'category': 'technical'}, {'name': 'angular', 'category': 'technical'}, {'name': 'communication', 'category': 'soft'}, {'name': 'problem solving', 'category': 'soft'}]",data scientist,2025-04-17,2025-04-17T22:06:08.667069,1,1,0,0,0,0,1,0,1,1,0,1,1,0,0,1
data scientist,Data Solutions,Remote,"We are looking for a data scientist with experience in React, TensorFlow, Angular, JavaScript, Kubernetes, AWS, Python and Node.js. The ideal candidate will have strong technical skills and excellent communication abilities. This role is based in Remote and offers competitive compensation.",mock_data,data scientist,2025-04-17T09:16:24.387704,we are looking for a data scientist with experience in react tensorflow angular javascript kubernetes aws python and node js the ideal candidate will have strong technical skills and excellent communication abilities this role is based in remote and offers competitive compensation,"[{'name': 'python', 'category': 'technical'}, {'name': 'javascript', 'category': 'technical'}, {'name': 'aws', 'category': 'technical'}, {'name': 'kubernetes', 'category': 'technical'}, {'name': 'tensorflow', 'category': 'technical'}, {'name': 'react', 'category': 'technical'}, {'name': 'angular', 'category': 'technical'}, {'name': 'communication', 'category': 'soft'}]",data scientist,2025-04-17,2025-04-17T22:06:08.667069,1,1,0,0,1,1,0,0,1,1,0,1,0,0,1,0
data scientist,Cloud Systems,Remote,"We are looking for a data scientist with experience in Node.js, React and Communication. The ideal candidate will have strong technical skills and excellent communication abilities. This role is based in Remote and offers competitive compensation.",mock_data,data scientist,2025-04-17T09:16:24.387704,we are looking for a data scientist with experience in node js react and communication the ideal candidate will have strong technical skills and excellent communication abilities this role is based in remote and offers competitive compensation,"[{'name': 'react', 'category': 'technical'}, {'name': 'communication', 'category': 'soft'}]",data scientist,2025-04-17,2025-04-17T22:06:08.669074,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
data scientist,Smart Analytics,Remote,"We are looking for a data scientist with experience in Azure, SQL, React, C++ and Communication. The ideal candidate will have strong technical skills and excellent communication abilities. This role is based in Remote and offers competitive compensation.",mock_data,data scientist,2025-04-17T09:16:24.387704,we are looking for a data scientist with experience in azure sql react c and communication the ideal candidate will have strong technical skills and excellent communication abilities this role is based in remote and offers competitive compensation,"[{'name': 'sql', 'category': 'technical'}, {'name': 'azure', 'category': 'technical'}, {'name': 'react', 'category': 'technical'}, {'name': 'communication', 'category': 'soft'}]",data scientist,2025-04-17,2025-04-17T22:06:08.669074,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
data scientist,Digital Platforms,Remote,"We are looking for a data scientist with experience in Leadership, Agile, Java and React. The ideal candidate will have strong technical skills and excellent communication abilities. This role is based in Remote and offers competitive compensation.",mock_data,data scientist,2025-04-17T09:16:24.387704,we are looking for a data scientist with experience in leadership agile java and react the ideal candidate will have strong technical skills and excellent communication abilities this role is based in remote and offers competitive compensation,"[{'name': 'java', 'category': 'technical'}, {'name': 'react', 'category': 'technical'}, {'name': 'communication', 'category': 'soft'}, {'name': 'leadership', 'category': 'soft'}]",data scientist,2025-04-17,2025-04-17T22:06:08.669074,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0
data scientist,Digital Platforms,Remote,"We are looking for a data scientist with experience in Angular, PyTorch, AWS, C# and Node.js. The ideal candidate will have strong technical skills and excellent communication abilities. This role is based in Remote and offers competitive compensation.",mock_data,data scientist,2025-04-17T09:16:24.387704,we are looking for a data scientist with experience in angular pytorch aws c and node js the ideal candidate will have strong technical skills and excellent communication abilities this role is based in remote and offers competitive compensation,"[{'name': 'aws', 'category': 'technical'}, {'name': 'pytorch', 'category': 'technical'}, {'name': 'angular', 'category': 'technical'}, {'name': 'communication', 'category': 'soft'}]",data scientist,2025-04-17,2025-04-17T22:06:08.669074,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0
data scientist,Future Technologies,Remote,"We are looking for a data scientist with experience in Problem Solving, Docker, Python, C++, Angular, AWS, React and Agile. The ideal candidate will have strong technical skills and excellent communication abilities. This role is based in Remote and offers competitive compensation.",mock_data,data scientist,2025-04-17T09:16:24.387704,we are looking for a data scientist with experience in problem solving docker python c angular aws react and agile the ideal candidate will have strong technical skills and excellent communication abilities this role is based in remote and offers competitive compensation,"[{'name': 'python', 'category': 'technical'}, {'name': 'aws', 'category': 'technical'}, {'name': 'docker', 'category': 'technical'}, {'name': 'react', 'category': 'technical'}, {'name': 'angular', 'category': 'technical'}, {'name': 'communication', 'category': 'soft'}, {'name': 'problem solving', 'category': 'soft'}]",data scientist,2025-04-17,2025-04-17T22:06:08.669074,1,1,0,0,0,0,1,0,1,1,0,0,0,0,1,1
data scientist,Cloud Systems,Remote,"We are looking for a data scientist with experience in Python, Angular, C++, AWS, C# and Node.js. The ideal candidate will have strong technical skills and excellent communication abilities. This role is based in Remote and offers competitive compensation.",mock_data,data scientist,2025-04-17T09:16:24.387704,we are looking for a data scientist with experience in python angular c aws c and node js the ideal candidate will have strong technical skills and excellent communication abilities this role is based in remote and offers competitive compensation,"[{'name': 'python', 'category': 'technical'}, {'name': 'aws', 'category': 'technical'}, {'name': 'angular', 'category': 'technical'}, {'name': 'communication', 'category': 'soft'}]",data scientist,2025-04-17,2025-04-17T22:06:08.669074,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0
data scientist,Future Technologies,Remote,"We are looking for a data scientist with experience in Azure, Kubernetes, C#, Communication, Problem Solving and Java. The ideal candidate will have strong technical skills and excellent communication abilities. This role is based in Remote and offers competitive compensation.",mock_data,data scientist,2025-04-17T09:16:24.387704,we are looking for a data scientist with experience in azure kubernetes c communication problem solving and java the ideal candidate will have strong technical skills and excellent communication abilities this role is based in remote and offers competitive compensation,"[{'name': 'java', 'category': 'technical'}, {'name': 'azure', 'category': 'technical'}, {'name': 'kubernetes', 'category': 'technical'}, {'name': 'communication', 'category': 'soft'}, {'name': 'problem solving', 'category': 'soft'}]",data scientist,2025-04-17,2025-04-17T22:06:08.671080,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0
data scientist,Software Dynamics,Remote,"We are looking for a data scientist with experience in TensorFlow, PyTorch, Python, JavaScript and Leadership. The ideal candidate will have strong technical skills and excellent communication abilities. This role is based in Remote and offers competitive compensation.",mock_data,data scientist,2025-04-17T09:16:24.387704,we are looking for a data scientist with experience in tensorflow pytorch python javascript and leadership the ideal candidate will have strong technical skills and excellent communication abilities this role is based in remote and offers competitive compensation,"[{'name': 'python', 'category': 'technical'}, {'name': 'javascript', 'category': 'technical'}, {'name': 'tensorflow', 'category': 'technical'}, {'name': 'pytorch', 'category': 'technical'}, {'name': 'communication', 'category': 'soft'}, {'name': 'leadership', 'category': 'soft'}]",data scientist,2025-04-17,2025-04-17T22:06:08.671080,0,0,0,0,1,0,0,1,0,1,0,1,1,0,1,0
data scientist,Tech Innovations,Remote,"We are looking for a data scientist with experience in Azure, Docker, PyTorch, Angular, Java and JavaScript. The ideal candidate will have strong technical skills and excellent communication abilities. This role is based in Remote and offers competitive compensation.",mock_data,data scientist,2025-04-17T09:16:24.387704,we are looking for a data scientist with experience in azure docker pytorch angular java and javascript the ideal candidate will have strong technical skills and excellent communication abilities this role is based in remote and offers competitive compensation,"[{'name': 'java', 'category': 'technical'}, {'name': 'javascript', 'category': 'technical'}, {'name': 'azure', 'category': 'technical'}, {'name': 'docker', 'category': 'technical'}, {'name': 'pytorch', 'category': 'technical'}, {'name': 'angular', 'category': 'technical'}, {'name': 'communication', 'category': 'soft'}]",data scientist,2025-04-17,2025-04-17T22:06:08.671080,0,1,1,0,1,0,0,0,0,1,0,0,1,1,0,1
data scientist,Future Technologies,Remote,"We are looking for a data scientist with experience in C++, Agile, JavaScript, React, Java and AWS. The ideal candidate will have strong technical skills and excellent communication abilities. This role is based in Remote and offers competitive compensation.",mock_data,data scientist,2025-04-17T09:16:24.387704,we are looking for a data scientist with experience in c agile javascript react java and aws the ideal candidate will have strong technical skills and excellent communication abilities this role is based in remote and offers competitive compensation,"[{'name': 'java', 'category': 'technical'}, {'name': 'javascript', 'category': 'technical'}, {'name': 'aws', 'category': 'technical'}, {'name': 'react', 'category': 'technical'}, {'name': 'communication', 'category': 'soft'}]",data scientist,2025-04-17,2025-04-17T22:06:08.671080,1,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0
data scientist,AI Research Labs,Remote,"We are looking for a data scientist with experience in JavaScript, Agile, Java, SQL and React. The ideal candidate will have strong technical skills and excellent communication abilities. This role is based in Remote and offers competitive compensation.",mock_data,data scientist,2025-04-17T09:16:24.387704,we are looking for a data scientist with experience in javascript agile java sql and react the ideal candidate will have strong technical skills and excellent communication abilities this role is based in remote and offers competitive compensation,"[{'name': 'java', 'category': 'technical'}, {'name': 'javascript', 'category': 'technical'}, {'name': 'sql', 'category': 'technical'}, {'name': 'react', 'category': 'technical'}, {'name': 'communication', 'category': 'soft'}]",data scientist,2025-04-17,2025-04-17T22:06:08.671080,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0
data scientist,AI Research Labs,Remote,"We are looking for a data scientist with experience in Leadership, Docker and Python. The ideal candidate will have strong technical skills and excellent communication abilities. This role is based in Remote and offers competitive compensation.",mock_data,data scientist,2025-04-17T09:16:24.387704,we are looking for a data scientist with experience in leadership docker and python the ideal candidate will have strong technical skills and excellent communication abilities this role is based in remote and offers competitive compensation,"[{'name': 'python', 'category': 'technical'}, {'name': 'docker', 'category': 'technical'}, {'name': 'communication', 'category': 'soft'}, {'name': 'leadership', 'category': 'soft'}]",data scientist,2025-04-17,2025-04-17T22:06:08.671080,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1
data scientist,Data Solutions,Remote,"We are looking for a data scientist with experience in Azure, C#, SQL, Communication, Docker, Angular, JavaScript and Python. The ideal candidate will have strong technical skills and excellent communication abilities. This role is based in Remote and offers competitive compensation.",mock_data,data scientist,2025-04-17T09:16:24.387704,we are looking for a data scientist with experience in azure c sql communication docker angular javascript and python the ideal candidate will have strong technical skills and excellent communication abilities this role is based in remote and offers competitive compensation,"[{'name': 'python', 'category': 'technical'}, {'name': 'javascript', 'category': 'technical'}, {'name': 'sql', 'category': 'technical'}, {'name': 'azure', 'category': 'technical'}, {'name': 'docker', 'category': 'technical'}, {'name': 'angular', 'category': 'technical'}, {'name': 'communication', 'category': 'soft'}]",data scientist,2025-04-17,2025-04-17T22:06:08.671080,0,1,0,0,1,0,0,0,0,1,1,0,0,1,1,1
