title,company,location,description,source,query,scraped_at,clean_description,skills,clean_title,scraped_date,processed_at,angular,docker,teamwork,sql,communication,javascript,python,aws,azure,tensorflow,kubernetes,pytorch,problem solving,react,leadership,java
data scientist,AI Research Labs,New York,"We are looking for a data scientist with experience in Communication, React and PyTorch. The ideal candidate will have strong technical skills and excellent communication abilities. This role is based in New York and offers competitive compensation.",mock_data,data scientist,2025-04-17T08:32:53.119052,we are looking for a data scientist with experience in communication react and pytorch the ideal candidate will have strong technical skills and excellent communication abilities this role is based in new york and offers competitive compensation,"[{'name': 'pytorch', 'category': 'technical'}, {'name': 'react', 'category': 'technical'}, {'name': 'communication', 'category': 'soft'}]",data scientist,2025-04-17,2025-04-17T22:06:08.635057,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
data scientist,Software Dynamics,New York,"We are looking for a data scientist with experience in Teamwork, Agile, SQL, C# and C++. The ideal candidate will have strong technical skills and excellent communication abilities. This role is based in New York and offers competitive compensation.",mock_data,data scientist,2025-04-17T08:32:53.119052,we are looking for a data scientist with experience in teamwork agile sql c and c the ideal candidate will have strong technical skills and excellent communication abilities this role is based in new york and offers competitive compensation,"[{'name': 'sql', 'category': 'technical'}, {'name': 'communication', 'category': 'soft'}, {'name': 'teamwork', 'category': 'soft'}]",data scientist,2025-04-17,2025-04-17T22:06:08.635057,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
data scientist,Data Solutions,New York,"We are looking for a data scientist with experience in Angular, Docker, JavaScript, C# and SQL. The ideal candidate will have strong technical skills and excellent communication abilities. This role is based in New York and offers competitive compensation.",mock_data,data scientist,2025-04-17T08:32:53.119052,we are looking for a data scientist with experience in angular docker javascript c and sql the ideal candidate will have strong technical skills and excellent communication abilities this role is based in new york and offers competitive compensation,"[{'name': 'javascript', 'category': 'technical'}, {'name': 'sql', 'category': 'technical'}, {'name': 'docker', 'category': 'technical'}, {'name': 'angular', 'category': 'technical'}, {'name': 'communication', 'category': 'soft'}]",data scientist,2025-04-17,2025-04-17T22:06:08.635057,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0
data scientist,Smart Analytics,New York,"We are looking for a data scientist with experience in JavaScript, Leadership and SQL. The ideal candidate will have strong technical skills and excellent communication abilities. This role is based in New York and offers competitive compensation.",mock_data,data scientist,2025-04-17T08:32:53.119052,we are looking for a data scientist with experience in javascript leadership and sql the ideal candidate will have strong technical skills and excellent communication abilities this role is based in new york and offers competitive compensation,"[{'name': 'javascript', 'category': 'technical'}, {'name': 'sql', 'category': 'technical'}, {'name': 'communication', 'category': 'soft'}, {'name': 'leadership', 'category': 'soft'}]",data scientist,2025-04-17,2025-04-17T22:06:08.637063,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0
data scientist,Software Dynamics,New York,"We are looking for a data scientist with experience in Node.js, Agile, JavaScript, Leadership and C++. The ideal candidate will have strong technical skills and excellent communication abilities. This role is based in New York and offers competitive compensation.",mock_data,data scientist,2025-04-17T08:32:53.119052,we are looking for a data scientist with experience in node js agile javascript leadership and c the ideal candidate will have strong technical skills and excellent communication abilities this role is based in new york and offers competitive compensation,"[{'name': 'javascript', 'category': 'technical'}, {'name': 'communication', 'category': 'soft'}, {'name': 'leadership', 'category': 'soft'}]",data scientist,2025-04-17,2025-04-17T22:06:08.637063,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0
data scientist,AI Research Labs,New York,"We are looking for a data scientist with experience in AWS, C#, TensorFlow, SQL, Node.js and C++. The ideal candidate will have strong technical skills and excellent communication abilities. This role is based in New York and offers competitive compensation.",mock_data,data scientist,2025-04-17T08:32:53.119052,we are looking for a data scientist with experience in aws c tensorflow sql node js and c the ideal candidate will have strong technical skills and excellent communication abilities this role is based in new york and offers competitive compensation,"[{'name': 'sql', 'category': 'technical'}, {'name': 'aws', 'category': 'technical'}, {'name': 'tensorflow', 'category': 'technical'}, {'name': 'communication', 'category': 'soft'}]",data scientist,2025-04-17,2025-04-17T22:06:08.637063,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0
data scientist,Smart Analytics,New York,"We are looking for a data scientist with experience in SQL, Python, Node.js and AWS. The ideal candidate will have strong technical skills and excellent communication abilities. This role is based in New York and offers competitive compensation.",mock_data,data scientist,2025-04-17T08:32:53.119052,we are looking for a data scientist with experience in sql python node js and aws the ideal candidate will have strong technical skills and excellent communication abilities this role is based in new york and offers competitive compensation,"[{'name': 'python', 'category': 'technical'}, {'name': 'sql', 'category': 'technical'}, {'name': 'aws', 'category': 'technical'}, {'name': 'communication', 'category': 'soft'}]",data scientist,2025-04-17,2025-04-17T22:06:08.637063,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0
data scientist,Software Dynamics,New York,"We are looking for a data scientist with experience in Teamwork, React, Azure, Communication, PyTorch and C#. The ideal candidate will have strong technical skills and excellent communication abilities. This role is based in New York and offers competitive compensation.",mock_data,data scientist,2025-04-17T08:32:53.119052,we are looking for a data scientist with experience in teamwork react azure communication pytorch and c the ideal candidate will have strong technical skills and excellent communication abilities this role is based in new york and offers competitive compensation,"[{'name': 'azure', 'category': 'technical'}, {'name': 'pytorch', 'category': 'technical'}, {'name': 'react', 'category': 'technical'}, {'name': 'communication', 'category': 'soft'}, {'name': 'teamwork', 'category': 'soft'}]",data scientist,2025-04-17,2025-04-17T22:06:08.639068,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0
data scientist,AI Research Labs,New York,"We are looking for a data scientist with experience in Kubernetes, C#, Java, Communication and Node.js. The ideal candidate will have strong technical skills and excellent communication abilities. This role is based in New York and offers competitive compensation.",mock_data,data scientist,2025-04-17T08:32:53.119052,we are looking for a data scientist with experience in kubernetes c java communication and node js the ideal candidate will have strong technical skills and excellent communication abilities this role is based in new york and offers competitive compensation,"[{'name': 'java', 'category': 'technical'}, {'name': 'kubernetes', 'category': 'technical'}, {'name': 'communication', 'category': 'soft'}]",data scientist,2025-04-17,2025-04-17T22:06:08.639068,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
data scientist,Cloud Systems,New York,"We are looking for a data scientist with experience in AWS, C#, TensorFlow and SQL. The ideal candidate will have strong technical skills and excellent communication abilities. This role is based in New York and offers competitive compensation.",mock_data,data scientist,2025-04-17T08:32:53.119052,we are looking for a data scientist with experience in aws c tensorflow and sql the ideal candidate will have strong technical skills and excellent communication abilities this role is based in new york and offers competitive compensation,"[{'name': 'sql', 'category': 'technical'}, {'name': 'aws', 'category': 'technical'}, {'name': 'tensorflow', 'category': 'technical'}, {'name': 'communication', 'category': 'soft'}]",data scientist,2025-04-17,2025-04-17T22:06:08.639068,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0
